book	chapter	verse	anchor	references
Gen	2	18	nie goed	Gen 1:31|Gen 3:12|Rut 3:1|Spr 18:22|Pred 4:9-12|1 Kor 7:36
Gen	2	18	Ek sal vir hom ’n hulp maak	Gen 3:12|1 Kor 11:7-12|1 Tim 2:11-13|1 Pet 3:7
Gen	2	19	uit die aarde	Gen 1:20-25
Gen	2	19	na die mens gebring	Gen 2:22-23|Gen 1:26, 28|Gen 6:20|Gen 9:2|Ps 8:5-9
Gen	2	21	diepe slaap op die mens laat val; en terwyl hy slaap, het Hy een van sy ribbebene geneem	Gen 15:12|1 Sam 26:12|Job 4:13|Job 33:15|Spr 19:15|Dan 8:18
Gen	2	22	bou	Ps 127:1|1 Tim 2:13
Gen	2	22	bring haar na die mens	Gen 2:19|Spr 18:22|Spr 19:14|Heb 13:4
Gen	2	23	been van my gebeente	Gen 29:14|Rig 9:2|2 Sam 5:1|2 Sam 19:13|Ef 5:30
Gen	2	23	mannin	1 Kor 11:8-9
Gen	2	23	geneem	1 Kor 11:8
Gen	2	24	verlaat	Gen 24:58-59|Gen 31:14-15|Ps 45:11
Gen	2	24	aankleef	Lev 22:12-13|Deut 4:4|Deut 10:20|Jos 23:8|Ps 45:11|Spr 12:4|Spr 31:10|Hand 11:23
Gen	2	24	hulle sal een vlees wees	Mal 2:14-16|Matt 19:3-9|Mark 10:6-12|Rom 7:2|1 Kor 6:16-17|1 Kor 7:2-4, 10|1 Kor 7:11|Ef 5:28-31|1 Tim 5:14|1 Pet 3:1-7
Gen	2	25	naak	Gen 3:7, 10-11
Gen	2	25	geskaam	Eks 32:25|Ps 25:3|Ps 31:18|Jes 44:9|Jes 47:3|Jes 54:4|Jer 6:15|Jer 17:13|Eseg 16:61|Joel 2:26|Mark 8:38|Luk 9:26|Rom 10:11
Gen	3	1	slang was listiger	Gen 3:13-15|Jes 27:1|Matt 10:16|2 Kor 11:3, 14|Opb 12:9|Opb 20:2
Gen	3	1	hy sê	Num 22:28-29|Pred 4:10
Gen	3	1	God gesê het	Matt 4:3, 6, 9
Gen	3	2	slang	Ps 58:5
Gen	3	3	maar van die vrugte van die boom	Gen 2:16-17
Gen	3	3	nie aanroer nie	Gen 20:6|Eks 19:12-13|1 Kron 16:22|Job 1:11|Job 2:5|Job 19:21|1 Kor 7:1|2 Kor 6:17|Kol 2:21
Gen	3	4	slang	Joh 8:44
Gen	3	4	Julle sal gewis nie sterwe nie	Gen 3:13|Deut 29:19|2 Kon 1:4, 6, 16|2 Kon 8:10|Ps 10:11|2 Kor 2:11|2 Kor 11:3|1 Tim 2:14
Gen	3	5	God weet	Eks 20:7|1 Kon 22:6|Jer 14:13-14|Jer 28:2-3|Eseg 13:2-6, 22|2 Kor 11:3|2 Kor 11:13-15
Gen	3	5	julle oë sal oopgaan	Gen 3:7, 10|Matt 6:23|Hand 26:18
Gen	3	5	soos God sal wees	Eks 5:2|2 Kron 32:15|Ps 12:5|Eseg 28:2, 9|Eseg 29:3|Dan 4:30|Dan 6:8|Hand 12:22-23|2 Kor 4:4|2 Thess 2:4|Opb 13:4, 14
Gen	3	5	goed en kwaad te ken	Gen 3:22|Gen 2:17
Gen	3	6	Toe sien die vrou	Jos 7:21|Rig 16:1-2
Gen	3	6	lus was vir die oë	Eseg 24:16, 21, 25
Gen	3	6	vir die oë	Gen 6:2|Gen 39:7|Jos 7:21|2 Sam 11:2|Job 31:1|Matt 5:28|1 Joh 2:16
Gen	3	6	sy neem van sy vrugte en eet	1 Tim 2:14
Gen	3	6	hy het geëet	Gen 3:12, 17|Hos 6:7|Rom 5:12-19
Gen	3	7	altwee se oë oop	Gen 3:5|Deut 28:34|2 Kon 6:20|Luk 16:23
Gen	3	7	gewaar dat hulle naak is	Gen 3:10-11|Gen 2:25
Gen	3	7	hulle het vyeblare aanmekaargewerk	Job 9:29-31|Jes 28:20|Jes 59:6
