book	chapter	verse	anchor	references
Gn	3	19	tu retourneras à la poussière	Gn 23:4|Jb 17:13-16|Jb 19:26|Jb 21:26|Jb 34:15|Ps 22:16,30|Ps 104:29|Pr 21:16|Ec 3:20|Ec 12:7|Dn 12:2|Rm 5:12-21|1 Co 15:21-22
Gn	3	20	Adam	Gn 2:20,23|Gn 5:29|Gn 16:11|Gn 29:32-35|Gn 35:18|Ex 2:10|1 Sam 1:20|Mt 1:21,23
Gn	3	20	de tous les vivants	Ac 17:26
Gn	3	21	fit des habits	Gn 3:7|Es 61:10|Rm 3:22|2 Co 5:2-3,21
Gn	3	22	comme l'un de nous	Gn 3:5|Gn 1:26|Gn 11:6-7|Es 19:12-13|Es 47:12-13|Jr 22:23
Gn	3	22	l'arbre de vie	Gn 2:9|Pr 3:18|Ap 2:7|Ap 22:2
Gn	3	22	manger	Ps 22:27|Jn 6:48-58
Gn	3	23	cultive	Gn 3:19|Gn 2:5|Gn 4:2,12|Gn 9:20|Ec 5:8
Gn	3	24	à l'est	Gn 2:8
Gn	3	24	chérubins	Ex 25:2,20,22|1 Sam 4:4|1 Rs 6:25-35|Ps 80:1-2|Ps 99:1|Ps 104:4|Ez 10:2-22|He 1:7
Gn	3	24	une épée flamboyante	Nb 22:23|Jos 5:13|1 Ch 21:16-17|He 1:7
Gn	3	24	pour garder le chemin	Jn 14:6|He 10:18-22
Gn	4	1	des relations conjugales	Nb 31:17
Gn	4	1	J'ai donné vie	Gn 4:25|Gn 3:15|Gn 5:29|1 Jn 3:12
Gn	4	2	Abel.	Gn 30:29-31|Gn 37:13|Gn 46:32-34|Gn 47:3|Ex 3:1|Ps 78:70-72|Am 7:15
Gn	4	2	berger	Gn 4:25-26|Ps 127:3|Jn 8:44|1 Jn 3:10,12,15
Gn	4	2	cultivateur	Gn 3:23|Gn 9:20
Gn	4	3	quelque temps	1 Rs 17:7|Ne 13:6
Gn	4	3	des produits de la terre	Lv 2:1-11|Nb 18:12
Gn	4	4	premiers-nés	Ex 13:12|Nb 18:12,17|Pr 3:9|He 9:22|1 Pi 1:19-20|Ap 13:8
Gn	4	4	graisse	Lv 3:16-17
Gn	4	4	porta un regard favorable	Gn 15:17|Lv 9:24|Nb 16:35|Jg 6:21|1 Rs 18:24,38|1 Ch 21:26|2 Ch 7:1|Ps 20:4|He 11:4
Gn	4	5	mais	Nb 16:15|He 11:4
Gn	4	5	irrité	Gn 31:2,5|Jb 5:2|Ps 20:4|Es 3:10-11|Mt 20:15|Lc 15:28-30|Ac 13:45
Gn	4	6	Pourquoi es-tu irrité et pourquoi arbores-tu un air sombre?	1 Ch 13:11-13|Jb 5:2|Es 1:18|Jr 2:5,31|Jn 4:1-4,8-11|Mi 6:3-5|Mt 20:15|Lc 15:31-32
Gn	4	7	si tu agis bien	Gn 19:21|2 Sam 24:23|2 Rs 8:28|Jb 42:8|Pr 18:5|Ec 8:12-13|Es 3:10-11|Jr 6:20|Ml 1:8,10,13|Ac 10:35|Rm 2:7-10|Rm 12:1|Rm 14:18|Rm 15:16|Ep 1:6|1 Tm 5:4|1 Pi 2:5
Gn	4	7	tu te relèveras	Jb 29:4|Pr 21:27|He 11:4
Gn	4	7	le péché	Gn 4:8-13|Rm 7:8-9|Jc 1:15
Gn	4	7	ses désirs se portent vers toi	Gn 3:16
Gn	4	8	Caïn dit	2 Sam 3:27|2 Sam 13:26-28|2 Sam 20:9-10|Ne 6:2|Ps 36:4|Ps 55:22|Pr 26:24-26|Mi 7:6|Lc 22:48
Gn	4	8	il se jeta sur lui	2 Sam 14:6|Jb 11:15|Ps 24:3-6|Ps 139:19|Mt 23:35|Lc 11:51|1 Jn 3:12-15|Jude 1:11
