book	chapter	verse	anchor	references
Gen	3	8	hid themselves	Job 22:14|Job 31:33|Job 34:22|Ps 139:1-12|Prov 15:3|Jer 23:24|Amos 9:2-3|Jonah 1:3, 9-10|Rom 2:15|Heb 4:13
Gen	3	9	Where are you?	Gen 4:9|Gen 11:5|Gen 16:8|Gen 18:20-21|Josh 7:17-19|Rev 20:12-13
Gen	3	10	and I was afraid	Gen 2:25|Exod 3:6|Job 23:15|Ps 119:120|Isa 33:14|Isa 57:11|1 John 3:20
Gen	3	10	because I was naked	Gen 3:7|Gen 2:25|Exod 32:25|Isa 47:3|Rev 3:17-18|Rev 16:15
Gen	3	11	“Who told you that you were naked?” asked the LORD God. “Have you eaten from the tree of which I commanded you not to eat?”	Gen 4:10|Ps 50:21|Rom 3:20
Gen	3	12	The woman whom You gave me, she gave me fruit from the tree, and I ate it	Gen 2:18, 20, 22|Exod 32:21-24|1 Sam 15:20-24|Job 31:33|Prov 19:3|Prov 28:13|Luke 10:29|Rom 10:3|Jas 1:13-15
Gen	3	13	What is this you have done?	Gen 4:10-12|Gen 44:15|1 Sam 13:11|2 Sam 3:24|2 Sam 12:9-12|John 18:35
Gen	3	13	The serpent deceived me	Gen 3:4-6|2 Cor 11:3|1 Tim 2:14
Gen	3	14	cursed are you	Gen 3:1|Gen 9:6|Exod 21:28-32|Lev 20:25
Gen	3	14	dust you will eat	Ps 72:9|Isa 29:4|Isa 65:25|Mic 7:17
Gen	3	15	enmity	Num 21:6-7|Amos 9:3|Mark 16:18|Luke 10:19|Acts 28:3-6|Rom 3:13
Gen	3	15	your seed	Matt 3:7|Matt 12:34|Matt 13:38|Matt 23:33|John 8:44|Acts 13:10|1 John 3:8, 10
Gen	3	15	her seed	Ps 132:11|Isa 7:14|Jer 31:22|Mic 5:3|Matt 1:23, 25|Luke 1:31-35, 76|Gal 4:4
Gen	3	15	He will crush your head	Rom 16:20|Eph 4:8|Col 2:15|Heb 2:14-15|1 John 3:8|1 John 5:5|Rev 12:7-8, 17|Rev 20:1-3, 10
Gen	3	15	you will strike his heel	Gen 49:17|Isa 53:3-4, 12|Dan 9:26|Matt 4:1-10|Luke 22:39-44, 53|John 12:31-33|John 14:30-31|Heb 2:18|Heb 5:7|Rev 2:10|Rev 12:9-13|Rev 13:7|Rev 15:1-6|Rev 20:7-8
Gen	3	16	pain in childbirth	Gen 35:16-18|1 Sam 4:19-21|Ps 48:6|Isa 13:8|Isa 21:3|Isa 26:17-18|Isa 53:11|Jer 4:31|Jer 6:24|Jer 13:21|Jer 22:23|Jer 49:24|Mic 4:9-10|John 16:21|1 Thess 5:3|1 Tim 2:15
Gen	3	16	Your desire will be for your husband	Gen 4:7
Gen	3	16	he will rule over you	Num 30:7-8, 13|Esth 1:20|1 Cor 7:4|1 Cor 11:3|1 Cor 14:34|Eph 5:22-24|Col 3:18|1 Tim 2:11-12|Titus 2:5|1 Pet 3:1-6
